direccion,precio,moneda,tipo,operacion,ciudad,barrio,m2_totales,m2_cubiertos,m2_terreno,m2_descubierta,ambientes,dormitorios,banos,cant_plantas,expensas,descripcion,lat,lng,antiguedad,piso,cochera,balcon,jardin,parrilla,pileta,apto_banco,permuta,fotos
Avenida 60 e/ 151 y 152,200000,USD,Negocio Especial,Venta,La Plata,Los Hornos,0,0,,,2,0,1,,,"Geriatrico, 22 camas , 12 dormitorios, 6 baños. 300 mts cuadrados.",,,,,no,no,no,no,no,no,no,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887160/comesana-propiedades/argenprop-18295385-0.webp
Avenida 60 30 y 31 2300,175000,USD,Casa,Venta,La Plata,Sin barrio,420,220,414,200,5,4,1,2,,"Casa sobre lote 9 x 48 características:4 dormitorios, garaje, living comedor, 2 baños, quincho, pileta, parrilla toma permuta menor.",-34.94301,-57.96516,50 años,,si,no,si,no,si,no,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887163/comesana-propiedades/argenprop-14455137-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887165/comesana-propiedades/argenprop-14455137-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887167/comesana-propiedades/argenprop-14455137-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887169/comesana-propiedades/argenprop-14455137-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887171/comesana-propiedades/argenprop-14455137-4.webp
Cerca de Av 137 y calle 56,78000,USD,Casa,Venta,La Plata,Los Hornos,5,5,,,5,2,2,2,,"Lote 8,66 x 36 mts cerca de av 137 y calle 56 cuenta con construcción en 2 plantas tipo dúplex con habitación y baño. Además casa alpina con cocina comedor en planta baja, baño amplios y 2 dormitorios en planta alta. Parque con frutales y en su lateral, espacio de guardacoche techado. Acepta permuta de menor valor en la plata. Ambos inmuebles en excelente estado.",,,2 años,,no,no,no,no,no,no,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887174/comesana-propiedades/argenprop-19278015-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887176/comesana-propiedades/argenprop-19278015-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887177/comesana-propiedades/argenprop-19278015-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887179/comesana-propiedades/argenprop-19278015-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887181/comesana-propiedades/argenprop-19278015-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887183/comesana-propiedades/argenprop-19278015-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887184/comesana-propiedades/argenprop-19278015-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887186/comesana-propiedades/argenprop-19278015-7.webp
Cerca de Av 137 y calle 56,55000,USD,Terreno,Venta,La Plata,Los Hornos,456,456,,,2,0,1,,,"8,66 x 53 mts cerca de av 137 y calle 56 cuenta con depósito recientemente instalado con servicio de electricidad lote libre y cerrado",,,,,no,no,no,no,no,no,no,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887191/comesana-propiedades/argenprop-19278099-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887192/comesana-propiedades/argenprop-19278099-1.webp
Sobre Avenida 60,230000,USD,Negocio Especial,Venta,La Plata,Los Hornos,0,0,,,2,0,1,,,"Local en venta ubicación: los hornos, sobre avenida 60 características: planta baja: cubierta, funcionando actualmente negocio y panadería, 280 metros.Posee horno de ladrillo de barro funcionando. Planta alta: vivienda techada a terminar, 105 metros cubiertos total cubierto: 385 metros consulte paola comesaña propiedades colegiado 7470 /",,,,,no,no,no,no,no,no,no,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887195/comesana-propiedades/argenprop-19147470-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887197/comesana-propiedades/argenprop-19147470-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887199/comesana-propiedades/argenprop-19147470-2.webp
"1 esquina 520 1300, Piso 1",46000,USD,Depto,Venta,La Plata,Tolosa,94,69,,25,5,3,1,,,Importante piso con cochera propia y patio lavadero planta baja . Planta alta 3 dor baño cocina cocinar amplio living comedor . Galeria cubierta sin expensas. Contado 55.000 dolares permuta casa o dto. En permuta 70.000 dolares,-34.89135,-57.98365,30 años,,no,no,no,si,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887202/comesana-propiedades/argenprop-11106526-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887203/comesana-propiedades/argenprop-11106526-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887205/comesana-propiedades/argenprop-11106526-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887207/comesana-propiedades/argenprop-11106526-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887208/comesana-propiedades/argenprop-11106526-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887211/comesana-propiedades/argenprop-11106526-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887213/comesana-propiedades/argenprop-11106526-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887215/comesana-propiedades/argenprop-11106526-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887217/comesana-propiedades/argenprop-11106526-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887219/comesana-propiedades/argenprop-11106526-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887221/comesana-propiedades/argenprop-11106526-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887223/comesana-propiedades/argenprop-11106526-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887224/comesana-propiedades/argenprop-11106526-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887227/comesana-propiedades/argenprop-11106526-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887229/comesana-propiedades/argenprop-11106526-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887231/comesana-propiedades/argenprop-11106526-15.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887232/comesana-propiedades/argenprop-11106526-16.webp
BOSQUES PERALTA RAMOS,190000,USD,Casa,Venta,Mar del Plata,Barrio Colinas de Peralta Ramos,710,260,600,450,4,3,2,2,,Bosques peralta ramos chalet 2 plantas amplias dependencias amplio parque casa 3 niveles detalles de categoria aberturas de madera hecha a medidas retasada agosto 2.024 vendo por viaje,,,25 años,,si,si,si,si,no,si,no,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887235/comesana-propiedades/argenprop-16123084-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887238/comesana-propiedades/argenprop-16123084-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887239/comesana-propiedades/argenprop-16123084-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887242/comesana-propiedades/argenprop-16123084-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887244/comesana-propiedades/argenprop-16123084-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887246/comesana-propiedades/argenprop-16123084-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887249/comesana-propiedades/argenprop-16123084-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887251/comesana-propiedades/argenprop-16123084-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887253/comesana-propiedades/argenprop-16123084-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887255/comesana-propiedades/argenprop-16123084-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887256/comesana-propiedades/argenprop-16123084-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887258/comesana-propiedades/argenprop-16123084-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887260/comesana-propiedades/argenprop-16123084-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887262/comesana-propiedades/argenprop-16123084-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887264/comesana-propiedades/argenprop-16123084-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887265/comesana-propiedades/argenprop-16123084-15.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887268/comesana-propiedades/argenprop-16123084-16.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887270/comesana-propiedades/argenprop-16123084-17.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887272/comesana-propiedades/argenprop-16123084-18.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887274/comesana-propiedades/argenprop-16123084-19.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887276/comesana-propiedades/argenprop-16123084-20.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887278/comesana-propiedades/argenprop-16123084-21.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887279/comesana-propiedades/argenprop-16123084-22.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887283/comesana-propiedades/argenprop-16123084-23.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887285/comesana-propiedades/argenprop-16123084-24.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887287/comesana-propiedades/argenprop-16123084-25.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887288/comesana-propiedades/argenprop-16123084-26.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887290/comesana-propiedades/argenprop-16123084-27.webp
ZONA 202 e/ 44 y 43 900,140000,USD,Galpon,Venta,La Plata,Lisandro Olmos,540,240,,300,2,0,2,1,,Importante galpon zona centro de olmos consultas paola comesaña propiedades,-34.920494,-57.953568,20 años,,no,no,no,no,no,no,no,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887293/comesana-propiedades/argenprop-16715138-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887295/comesana-propiedades/argenprop-16715138-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887297/comesana-propiedades/argenprop-16715138-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887298/comesana-propiedades/argenprop-16715138-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887300/comesana-propiedades/argenprop-16715138-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887301/comesana-propiedades/argenprop-16715138-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887303/comesana-propiedades/argenprop-16715138-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887305/comesana-propiedades/argenprop-16715138-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887307/comesana-propiedades/argenprop-16715138-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887309/comesana-propiedades/argenprop-16715138-9.webp
BOLIVAR Y ENTRE RIOS,129000,USD,Depto,Venta,Mar del Plata,Centro,60,55,,5,4,2,2,,$ 75.000,Muy amplio dto con dependencias de servicio mts bingo permuta casa en la zona,,,40 años,,no,si,no,no,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887311/comesana-propiedades/argenprop-9842244-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887314/comesana-propiedades/argenprop-9842244-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887315/comesana-propiedades/argenprop-9842244-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887317/comesana-propiedades/argenprop-9842244-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887319/comesana-propiedades/argenprop-9842244-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887321/comesana-propiedades/argenprop-9842244-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887322/comesana-propiedades/argenprop-9842244-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887324/comesana-propiedades/argenprop-9842244-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887325/comesana-propiedades/argenprop-9842244-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887329/comesana-propiedades/argenprop-9842244-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887331/comesana-propiedades/argenprop-9842244-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887333/comesana-propiedades/argenprop-9842244-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887334/comesana-propiedades/argenprop-9842244-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887336/comesana-propiedades/argenprop-9842244-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887338/comesana-propiedades/argenprop-9842244-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887339/comesana-propiedades/argenprop-9842244-15.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887341/comesana-propiedades/argenprop-9842244-16.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887343/comesana-propiedades/argenprop-9842244-17.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887345/comesana-propiedades/argenprop-9842244-18.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887347/comesana-propiedades/argenprop-9842244-19.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887349/comesana-propiedades/argenprop-9842244-20.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887350/comesana-propiedades/argenprop-9842244-21.webp
CASA AVENIDA 72 Y 132,125000,USD,Casa,Venta,La Plata,Sin barrio,300,200,200,100,5,4,1,2,,"Casa 2 plantas sobre avenida 72 toma permuta por menor valor opcion de realizar locales comerciales por mas informacion, consulte al o al",,,25 años,,si,no,si,si,no,no,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887353/comesana-propiedades/argenprop-17460889-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887355/comesana-propiedades/argenprop-17460889-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887357/comesana-propiedades/argenprop-17460889-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887358/comesana-propiedades/argenprop-17460889-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887360/comesana-propiedades/argenprop-17460889-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887362/comesana-propiedades/argenprop-17460889-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887364/comesana-propiedades/argenprop-17460889-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887366/comesana-propiedades/argenprop-17460889-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887367/comesana-propiedades/argenprop-17460889-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887369/comesana-propiedades/argenprop-17460889-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887371/comesana-propiedades/argenprop-17460889-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887372/comesana-propiedades/argenprop-17460889-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887374/comesana-propiedades/argenprop-17460889-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887375/comesana-propiedades/argenprop-17460889-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887377/comesana-propiedades/argenprop-17460889-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887379/comesana-propiedades/argenprop-17460889-15.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887381/comesana-propiedades/argenprop-17460889-16.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887383/comesana-propiedades/argenprop-17460889-17.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887386/comesana-propiedades/argenprop-17460889-18.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887387/comesana-propiedades/argenprop-17460889-19.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887389/comesana-propiedades/argenprop-17460889-20.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887391/comesana-propiedades/argenprop-17460889-21.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887392/comesana-propiedades/argenprop-17460889-22.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887394/comesana-propiedades/argenprop-17460889-23.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887396/comesana-propiedades/argenprop-17460889-24.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887398/comesana-propiedades/argenprop-17460889-25.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887400/comesana-propiedades/argenprop-17460889-26.webp
"49 CALLE 6 Y DIAG 80 500, Piso 2",455,ARS,Depto,Alquiler,La Plata,Centro,28,28,,,2,0,1,,Incluidas,"Dto monoambiente a la calle 2 do piso, por ascensor luminoso requisitos: inquilino con recibo de sueldo en actividad mas 2 0 3 garantes con la misma condicion gastos y honorarios de inmobiliaria $ 490.000 certificacion de todos las firmas $ 150.000 informes y visitas comodidades: hall de entrada con placard espacio de cocina equipado con cocina a gas natural y termotanque nuevo baño completo con bañera ambiente muy luminoso sobre calle 49 y diagonal 80 con doble ventanal centro la plata lineas de colectivos. A metros de las facultades de ciencias juridicas, economicas, humanidades, etc. Bancos y plazas san martin y plaza italia, estacion de trenes y omnibus , importantes puntos de interes , museos , teatros, y etc.",-34.91273,-57.9489,30 años,,no,no,no,no,no,si,no,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887403/comesana-propiedades/argenprop-18673967-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887405/comesana-propiedades/argenprop-18673967-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887407/comesana-propiedades/argenprop-18673967-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887409/comesana-propiedades/argenprop-18673967-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887411/comesana-propiedades/argenprop-18673967-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887413/comesana-propiedades/argenprop-18673967-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887414/comesana-propiedades/argenprop-18673967-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887417/comesana-propiedades/argenprop-18673967-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887419/comesana-propiedades/argenprop-18673967-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887421/comesana-propiedades/argenprop-18673967-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887423/comesana-propiedades/argenprop-18673967-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887424/comesana-propiedades/argenprop-18673967-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887426/comesana-propiedades/argenprop-18673967-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887427/comesana-propiedades/argenprop-18673967-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887430/comesana-propiedades/argenprop-18673967-14.webp
132 bis y 528 400,90000,USD,Casa,Venta,La Plata,Jose Hernandez,533,120,533,413,4,3,1,,,"Ubicación: cerca de av 32 y av 131 desarrollada en lote 10 x 54 cuenta con: garaje pasante semidescubierto, 3 dormitorios, baño con sanitarios a estrenar, cocina con barra, living comedor muy amplio y muy buena ventilación, servicios, galería en forma de l (toda con madera a la vista barnizada y techos de plásticos transparentes). Posibilidad de tomar permuta por menor valor en la plata o mar del plata",-34.88955,-57.96486,1 años,,no,no,no,no,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887432/comesana-propiedades/argenprop-19025088-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779884362/comesana-propiedades/argenprop-19025088-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887436/comesana-propiedades/argenprop-19025088-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887438/comesana-propiedades/argenprop-19025088-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887439/comesana-propiedades/argenprop-19025088-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887441/comesana-propiedades/argenprop-19025088-5.webp
151 e/ 65 y 66,70000,USD,Casa,Venta,La Plata,Los Hornos,300,300,300,,2,0,1,,,"Casa dos dormitorios y garage cubierto, living, y cocina comedor amplia, lote de 10 x 30 mts. con pileta , servicios, a media cuadra de la avenida 66, zona comercial y cercania a colegios y al upa los hornos, y frente a una plaza.",,,,,si,no,si,no,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887444/comesana-propiedades/argenprop-18295489-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887446/comesana-propiedades/argenprop-18295489-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887448/comesana-propiedades/argenprop-18295489-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887449/comesana-propiedades/argenprop-18295489-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887452/comesana-propiedades/argenprop-18295489-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887454/comesana-propiedades/argenprop-18295489-5.webp
ZONA 63 Y 136 TOMA PERMUTA 2100,,USD,Local,Venta,La Plata,Sin barrio,180,140,,,2,0,2,1,,"Son dos locales comerciales en venta o alquiler a estrenar se escuchan propuestas de permutas se toman valores son 2 locales opcion casa , juntos o separados se toman valores en la costa",-34.929356,-57.99773,2 años,,no,no,no,no,no,no,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779884389/comesana-propiedades/argenprop-12433227-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887458/comesana-propiedades/argenprop-12433227-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887459/comesana-propiedades/argenprop-12433227-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887461/comesana-propiedades/argenprop-12433227-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887462/comesana-propiedades/argenprop-12433227-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887464/comesana-propiedades/argenprop-12433227-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887465/comesana-propiedades/argenprop-12433227-6.webp
"49 E/ 6 Y DIAG 80 500, Piso 2DO",45000,USD,Depto,Venta,La Plata,Centro,29,29,,,2,1,1,,,Dto a la calle pleno centro zona facultades mts plaza san martin y calle 7. Con expensas,-34.91265,-57.94897,30 años,,no,no,no,no,no,si,si,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887468/comesana-propiedades/argenprop-18675850-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887470/comesana-propiedades/argenprop-18675850-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887471/comesana-propiedades/argenprop-18675850-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887473/comesana-propiedades/argenprop-18675850-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887475/comesana-propiedades/argenprop-18675850-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887476/comesana-propiedades/argenprop-18675850-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887480/comesana-propiedades/argenprop-18675850-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887481/comesana-propiedades/argenprop-18675850-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887483/comesana-propiedades/argenprop-18675850-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887484/comesana-propiedades/argenprop-18675850-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887486/comesana-propiedades/argenprop-18675850-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887488/comesana-propiedades/argenprop-18675850-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887490/comesana-propiedades/argenprop-18675850-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887491/comesana-propiedades/argenprop-18675850-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887493/comesana-propiedades/argenprop-18675850-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887495/comesana-propiedades/argenprop-18675850-15.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887497/comesana-propiedades/argenprop-18675850-16.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887498/comesana-propiedades/argenprop-18675850-17.webp
140 e/ 60 bis y 61,245,ARS,Local,Alquiler,La Plata,Los Hornos,0,0,,,2,0,1,,,"Local buena ubicacion, luminoso, rodeado de otros locales comerciales, cerca de la avenida 60.",,,1 años,,no,no,no,no,no,no,no,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887501/comesana-propiedades/argenprop-18338476-0.webp
ZONA 149 Y 66 1600,42000,USD,Casa,Venta,La Plata,Los Hornos,2,2,,,3,2,1,1,,Casa a refaccionar o lote 10 x 30 oportunidad sobre zona avenida 149 y 66,-34.96634,-57.97768,50 años,,no,no,no,no,no,si,no,https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887503/comesana-propiedades/argenprop-17241975-0.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887505/comesana-propiedades/argenprop-17241975-1.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887507/comesana-propiedades/argenprop-17241975-2.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887508/comesana-propiedades/argenprop-17241975-3.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887510/comesana-propiedades/argenprop-17241975-4.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887511/comesana-propiedades/argenprop-17241975-5.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887513/comesana-propiedades/argenprop-17241975-6.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887515/comesana-propiedades/argenprop-17241975-7.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887517/comesana-propiedades/argenprop-17241975-8.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887519/comesana-propiedades/argenprop-17241975-9.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887520/comesana-propiedades/argenprop-17241975-10.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887522/comesana-propiedades/argenprop-17241975-11.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887524/comesana-propiedades/argenprop-17241975-12.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887526/comesana-propiedades/argenprop-17241975-13.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887528/comesana-propiedades/argenprop-17241975-14.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887530/comesana-propiedades/argenprop-17241975-15.webp|https://res.cloudinary.com/dkwd8oqdh/image/upload/v1779887532/comesana-propiedades/argenprop-17241975-16.webp
